,Tweets,Sentiments
466,"RT @nytimes: ""Vote like your life depends on it, because it does,"" said former President Barack Obama in an address to young people at the…",Positive
467,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Negative
468,Obama’s Presidency was the result of a wider conspiracy; through no fault of his own. His meteoric rise from commun… https://t.co/jpiRCm5JJQ,Positive
469,"Just a question,  did Obama fly to Scotland by commercial aircraft or private plane to bash the US?",Negative
470,RT @seanhannity: Obama: “I can afford to give up a lot of my current lifestyle to benefit the planet because I’ll still have a lot left ove…,Negative
471,wait there a obama movie happening!? https://t.co/OQfDnHfqOk,Positive
472,RT @nottramar: Viola Davis is so fucking funny for doing this face while playing Michelle Obama https://t.co/6GtnMcgyOn,Positive
473,@EmiEmiusa @raystaples3 @EmiEmiusa Many in addition to Joe Biden want to see the cessation of fossil fuels. Biden i… https://t.co/T62cW3oyZT,Positive
474,"Did we pay illegal aliens separation pay from family under the Obama administration? Just checking, Biden has let o… https://t.co/8iDgkJCFBZ",Negative
475,"RT @CourtneyBanks: Yo these kids are gunna wild out on Obama in 3, 2, 1 https://t.co/tZkFXoTT1c",Negative
476,@leslibless @VickiMDonovan Obama must have convinced The puppet that they did,Negative
477,"RT @AvengerResister: If you find yourself agreeing with former President Obama, let’s follow each other.",Positive
478,"@seanhannity Oh, and Obama's current lifestyle is reason enough to indict him for treason. What has he ever done to… https://t.co/sRMIeDaecN",Negative
479,RT @PastorDScott: Anybody know which commercial airline Obama took to the Climate change summit?,Positive
480,RT @Rooster_Crowing: How much money will Kate Steinles family get for her being separated from them by Democrat policies….It was the Obama/…,Negative
481,RT @davidsirota: Obama should also express regret for his own climate policy. https://t.co/CNaVHJhYht,Positive
482,"RT @EW: See Viola Davis as Michelle Obama in 'The First Lady' — plus, Michelle Pfeiffer as Betty Ford and Gillian Anderson as Eleanor Roose…",Negative
483,@HighPoint_ESBM Barick Obama 😴😴,Positive
484,"Or Hunter Biden, or Barack Obama &amp; Hillary Clinton, Hell that list is probably longer then we'll ever know. https://t.co/4rkajrrfUN",Positive
485,RT @iamjumpingin: Yeah how dare we not waste taxpayer dollars on the phony climate change that does nothing but make the evil doers richer.…,Negative
486,"RT @Amy_Siskind: Obama going hard at Trump without naming him in his Glasgow speech, noting the vacuum of US leadership on the world stage…",Negative
487,"RT @DanielTurnerPTF: Barack Obama said Donald J. Trump's policies failed the world on climate change.

If achieving American energy indepen…",Negative
488,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Positive
489,"RT @AdamBandt: Last night at COP26 Barack Obama said “vote like your life depends on it, because it does.”

Today, Scott Morrison’s approva…",Negative
490,"It’s 2058. We breathe through gas masks because the air is toxic. The water wars have been raging for a decade. 

Obama: Vote!",Negative
491,"RT @SteveRustad1: Steve Bannon . . .

Racist.

Fascist.

Psychotic.

Treasonous.

Arrest that damn criminal.

#StopTheSqueal #RoyalFartJoe…",Positive
492,"RT @OccupyDemocrats: BREAKING: Former President Obama rips Trump on the world stage for his ""active hostility toward climate science"" and f…",Negative
493,"RT @TomFitton: Durham must, if he hasn't already, interview Obama, Clinton, and Biden on the Steele Dossier. https://t.co/yXhCMDR8VA",Positive
494,@newsmax It has been agreed by many that this is one of the Worst deals by Obama!,Negative
495,"RT @Lowkey0nline: As president, Obama gave $700bn in subsidies to fossil fuel companies yearly, while spending only 0.2% of the national bu…",Negative
496,"WestExec Advisors is derived from “West Executive Avenue,” the closed street that runs between the West Wing of the… https://t.co/FBcM3rMnT9",Positive
497,"RT @ajamubaraka: The U.S. &amp; NATO under Obama as Black face for white power, attacked &amp; destroy Libya -  at the time the most prosperous Afr…",Negative
498,"RT @DanielTurnerPTF: Barack Obama: ""I can afford to give up a lot of my current lifestyle to benefit the planet.""

This is coming from the…",Negative
499,"RT @DanielTurnerPTF: Barack Obama: ""I can afford to give up a lot of my current lifestyle to benefit the planet.""

This is coming from the…",Positive
